Candidate,Party,Race,JurisdictionName ,County,Votes
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Kitsap,58390
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Kitsap,61733
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Kitsap,54999
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Kitsap,66262
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Kitsap,48521
Randy I. Dorn,90141,Washington State Superintendent of Public Instruction,,Kitsap,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Kitsap,64816
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Kitsap,49669
Christine Rolfes,(Prefers Democratic Party),Legislative District 23 State Senator,Legislative District 23,Kitsap,43305
Bret A. Treadwell,(Prefers Republican Party),Legislative District 23 State Senator,Legislative District 23,Kitsap,23235
Sherry V. Appleton,(Prefers Democratic Party),Legislative District 23 State Representative Pos. 1,Legislative District 23,Kitsap,40764
Tony Stephens,(Prefers Republican Party),Legislative District 23 State Representative Pos. 1,Legislative District 23,Kitsap,26146
Drew Hansen,(Prefers Democratic Party),Legislative District 23 State Representative Pos. 2,Legislative District 23,Kitsap,39949
James M. Olsen,(Prefers Republican Party),Legislative District 23 State Representative Pos. 2,Legislative District 23,Kitsap,26416
Jan Angel,(Prefers Republican Party),Legislative District 26 State Representative Pos. 1,Legislative District 26,Kitsap,18958
Karin Ashabraner,(Prefers Democratic Party),Legislative District 26 State Representative Pos. 1,Legislative District 26,Kitsap,13291
Larry Seaquist,(Prefers Democratic Party),Legislative District 26 State Representative Pos. 2,Legislative District 26,Kitsap,17541
Doug Richards,(Prefers Republican Party),Legislative District 26 State Representative Pos. 2,Legislative District 26,Kitsap,14524
Kathy Haigh,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Kitsap,8619
Dan Griffey,(Prefers Republican Party),Legislative District 35 State Representative Pos. 1,Legislative District 35,Kitsap,9002
Drew C. MacEwen,(Prefers Republican Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Kitsap,9089
Lynda Ring-Erickson,(Prefers Democratic Party),Legislative District 35 State Representative Pos. 2,Legislative District 35,Kitsap,8311
Susan Owens,89764,Supreme Court Justice Position 2,,Kitsap,100
Steve Gonzalez,89009,Supreme Court Justice Position 8,,Kitsap,100
Sheryl Gordon McCloud,57434,Supreme Court Justice Position 9,,Kitsap,56.2499
Richard B. Sanders,44671,Supreme Court Justice Position 9,,Kitsap,43.7501
 Division 2, District 2 Judge Position 2,Court of Appeals,47.8662,Kitsap,Pamela (Pam) Loginsky
 Division 2, District 2 Judge Position 2,Court of Appeals,52.1338,Kitsap,Thomas Bjorgen
Jennifer Forbes,66651,Kitsap Superior Court Judge Position 7,,Kitsap,66.9052
Karen Klein,32969,Kitsap Superior Court Judge Position 7,,Kitsap,33.0948
Yes,12096,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Kittitas,70.0041
No,5183,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Kittitas,29.9959
Yes,8859,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Kittitas,50.4528
No,8700,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Kittitas,49.5472
Approved,8215,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Kittitas,45.7024
Rejected,9760,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Kittitas,54.2976
Yes,8748,Statewide Initiative Measure No. 502 Concerns marijuana,,Kittitas,48.4225
No,9318,Statewide Initiative Measure No. 502 Concerns marijuana,,Kittitas,51.5775
Approved,10103,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Kittitas,63.7052
Rejected,5756,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Kittitas,36.2948
Approved,5884,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Kittitas,35.8387
Rejected,10534,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Kittitas,64.1613
Repealed,9602,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Kittitas,61.8965
Maintained,5911,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Kittitas,38.1035
Repealed,9221,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Kittitas,59.9467
Maintained,6161,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Kittitas,40.0533
Yes,8668,COUNTY WIDE - KITTITAS Kittitas County Flood Control Zone District - Proposition No. 1 Kittitas County Flood Control Zone District Maintenance and Operations Levy,,Kittitas,50.6752
No,8437,COUNTY WIDE - KITTITAS Kittitas County Flood Control Zone District - Proposition No. 1 Kittitas County Flood Control Zone District Maintenance and Operations Levy,,Kittitas,49.3248
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Kittitas,7949
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Kittitas,9782
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Kittitas,239
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Kittitas,39
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Kittitas,110
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Kittitas,5
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Kittitas,10
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Kittitas,37
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Kittitas,8746
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Kittitas,9023
Dave Reichert,(Prefers Republican Party),Congressional District 8 U.S. Representative,Congressional District 8,Kittitas,10674
Karen Porterfield,(Prefers Democratic Party),Congressional District 8 U.S. Representative,Congressional District 8,Kittitas,6574
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Kittitas,7137
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Kittitas,10752
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Kittitas,7722
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Kittitas,9235
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Kittitas,10183
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Kittitas,6488
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Kittitas,7851
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Kittitas,8682
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Kittitas,9590
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Kittitas,6765
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Kittitas,6733
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Kittitas,10071
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Kittitas,7200
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Kittitas,9404
Randy I. Dorn,11927,Washington State Superintendent of Public Instruction,,Kittitas,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Kittitas,7437
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Kittitas,8679
Paul Jewell,(Prefers Republican Party),COUNTY WIDE - KITTITAS Commissioner 1,COUNTY WIDE - KITTITAS,Kittitas,9359
Catherine Anne Clerf,(Prefers Republican Party),COUNTY WIDE - KITTITAS Commissioner 1,COUNTY WIDE - KITTITAS,Kittitas,5663
Paula J Thompson,(States No Party Preference),COUNTY WIDE - KITTITAS Commissioner 2,COUNTY WIDE - KITTITAS,Kittitas,7846
Gary Berndt,(Prefers Republican Party),COUNTY WIDE - KITTITAS Commissioner 2,COUNTY WIDE - KITTITAS,Kittitas,8394
Susan Owens,11383,Supreme Court Justice Position 2,,Kittitas,100
Steve Gonzalez,11174,Supreme Court Justice Position 8,,Kittitas,100
Sheryl Gordon McCloud,5923,Supreme Court Justice Position 9,,Kittitas,43.8351
Richard B. Sanders,7589,Supreme Court Justice Position 9,,Kittitas,56.1649
 Division 3, District 3 Judge Position 2,Court of Appeals,100,Kittitas,Teresa C. Kulik
Fran Chmelewski,9273,Kittitas Superior Court Judge Position 1,,Kittitas,59.0261
Jim Denison,6437,Kittitas Superior Court Judge Position 1,,Kittitas,40.9739
Scott R. Sparks,12040,Kittitas Superior Court Judge Position 2,,Kittitas,100
Shan Rowbotham,7289,PUBLIC UTILITY DISTRICT 1 Commissioner 2,,Kittitas,57.7575
Richard Low,5331,PUBLIC UTILITY DISTRICT 1 Commissioner 2,,Kittitas,42.2425
Judith (Judy) Warnick,(Prefers Republican Party),Legislative District 13 State Representative Pos. 1,Legislative District 13,Kittitas,12624
Matt Manweller,(Prefers Republican Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Kittitas,9868
Kaj Selmann,(Prefers Democratic Party),Legislative District 13 State Representative Pos. 2,Legislative District 13,Kittitas,6703
Yes,6562,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Klickitat,66.9934
No,3233,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Klickitat,33.0066
Yes,4611,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Klickitat,46.5428
No,5296,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Klickitat,53.4572
Approved,4278,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Klickitat,42.3816
Rejected,5816,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Klickitat,57.6184
Yes,5049,Statewide Initiative Measure No. 502 Concerns marijuana,,Klickitat,49.6363
No,5123,Statewide Initiative Measure No. 502 Concerns marijuana,,Klickitat,50.3637
Approved,5352,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Klickitat,58.4854
Rejected,3799,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Klickitat,41.5146
Approved,3018,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Klickitat,32.0076
Rejected,6411,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Klickitat,67.9924
Repealed,5768,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Klickitat,63.6855
Maintained,3289,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Klickitat,36.3145
Repealed,5368,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Klickitat,61.139
Maintained,3412,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Klickitat,38.861
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Klickitat,4598
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Klickitat,5316
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Klickitat,147
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Klickitat,53
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Klickitat,121
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Klickitat,5
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Klickitat,7
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Klickitat,27
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Klickitat,5115
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Klickitat,4990
Jaime Herrera Beutler,(Prefers Republican Party),Congressional District 3 U.S. Representative,Congressional District 3,Klickitat,5858
Jon T. Haugen,(Prefers Democratic Party),Congressional District 3 U.S. Representative,Congressional District 3,Klickitat,4035
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Klickitat,4442
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Klickitat,5638
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Klickitat,4508
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Klickitat,5234
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Klickitat,5477
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Klickitat,4189
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Klickitat,4715
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Klickitat,4888
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Klickitat,5312
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Klickitat,4209
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Klickitat,4333
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Klickitat,5242
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Klickitat,4467
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Klickitat,5169
Randy I. Dorn,6553,Washington State Superintendent of Public Instruction,,Klickitat,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Klickitat,4339
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Klickitat,4977
Curtis King,(Prefers Republican Party),Legislative District 14 State Senator,Legislative District 14,Klickitat,6580
Norm Johnson,(Prefers Republican Party),Legislative District 14 State Representative Pos. 1,Legislative District 14,Klickitat,5549
Paul Spencer,(Prefers Democratic Party),Legislative District 14 State Representative Pos. 1,Legislative District 14,Klickitat,3902
Charles Ross,(Prefers Republican Party),Legislative District 14 State Representative Pos. 2,Legislative District 14,Klickitat,5631
Mathew K.M. Tomaskin,(Prefers Democratic Party),Legislative District 14 State Representative Pos. 2,Legislative District 14,Klickitat,3725
Rex F. Johnston,(Prefers Republican Party),KLICKITAT COUNTY County Commissioner #1,KLICKITAT COUNTY,Klickitat,6683
Jim Sizemore,(Prefers Republican Party),KLICKITAT COUNTY County Commissioner #3,KLICKITAT COUNTY,Klickitat,5270
Joe Sellers,(Prefers Republican Party),KLICKITAT COUNTY County Commissioner #3,KLICKITAT COUNTY,Klickitat,2806
Susan Owens,6376,Supreme Court Justice Position 2,,Klickitat,100
Steve Gonzalez,6196,Supreme Court Justice Position 8,,Klickitat,100
Sheryl Gordon McCloud,3691,Supreme Court Justice Position 9,,Klickitat,49.0759
Richard B. Sanders,3830,Supreme Court Justice Position 9,,Klickitat,50.9241
 Division 3, District 3 Judge Position 2,Court of Appeals,100,Klickitat,Teresa C. Kulik
 Skamania Superior Court Judge Position 1,Brian Altman,Klickitat,Klickitat,Klickitat,6397
Approved?,727,WHITE SALMON MUNICIPAL White Salmon Municipal - Proposition No. 1 Single Year Temporary Levy Lid Lift for Five Years,,Klickitat,69.8367
Rejected?,314,WHITE SALMON MUNICIPAL White Salmon Municipal - Proposition No. 1 Single Year Temporary Levy Lid Lift for Five Years,,Klickitat,30.1633
Approved,1291,PORT DISTRICT # 1 Port District 1 - Proposition 1 Regular Property Tax Levy Lid Lift,,Klickitat,24.1851
Rejected,4047,PORT DISTRICT # 1 Port District 1 - Proposition 1 Regular Property Tax Levy Lid Lift,,Klickitat,75.8149
Yes,888,LYLE SCHOOL DISTRICT # 406 Lyle School District # 406 - Dissolution and Reapportionment of Director Districts,,Klickitat,65.6319
No,465,LYLE SCHOOL DISTRICT # 406 Lyle School District # 406 - Dissolution and Reapportionment of Director Districts,,Klickitat,34.3681
Randy L Knowles,6698,PUBLIC UTILITY DISTRICT # 1 Utility Commissioner #1,,Klickitat,100
Yes,25232,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Lewis,76.4861
No,7757,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Lewis,23.5139
Yes,18344,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Lewis,54.8811
No,15081,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Lewis,45.1189
Approved,11932,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Lewis,35.1727
Rejected,21992,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Lewis,64.8273
Yes,15213,Statewide Initiative Measure No. 502 Concerns marijuana,,Lewis,44.6155
No,18885,Statewide Initiative Measure No. 502 Concerns marijuana,,Lewis,55.3845
Approved,18000,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Lewis,59.0145
Rejected,12501,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Lewis,40.9855
Approved,9800,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Lewis,31.491
Rejected,21320,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Lewis,68.509
Repealed,20794,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Lewis,69.4662
Maintained,9140,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Lewis,30.5338
Repealed,20063,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Lewis,67.5113
Maintained,9655,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Lewis,32.4887
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Lewis,12664
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Lewis,20452
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Lewis,508
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Lewis,149
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Lewis,172
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Lewis,18
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Lewis,25
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Lewis,56
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Lewis,14445
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Lewis,19139
Jaime Herrera Beutler,(Prefers Republican Party),Congressional District 3 U.S. Representative,Congressional District 3,Lewis,23811
Jon T. Haugen,(Prefers Democratic Party),Congressional District 3 U.S. Representative,Congressional District 3,Lewis,9206
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Lewis,11865
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Lewis,22002
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Lewis,13764
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Lewis,18631
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Lewis,21520
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Lewis,10578
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Lewis,13134
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Lewis,18565
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Lewis,20033
Troy Kelley,(Prefers Democratic Party),Washington State State Auditor,Washington State,Lewis,11381
Bob Ferguson,(Prefers Democratic Party),Washington State Attorney General,Washington State,Lewis,12301
Reagan Dunn,(Prefers Republican Party),Washington State Attorney General,Washington State,Lewis,19831
Peter J. Goldmark,(Prefers Democratic Party),Washington State Commissioner of Public Lands,Washington State,Lewis,12883
Clint Didier,(Prefers Republican Party),Washington State Commissioner of Public Lands,Washington State,Lewis,18846
Randy I. Dorn,23334,Washington State Superintendent of Public Instruction,,Lewis,100
Mike Kreidler,(Prefers Democratic Party),Washington State Insurance Commissioner,Washington State,Lewis,12649
John R. Adams,(Prefers Republican Party),Washington State Insurance Commissioner,Washington State,Lewis,18522
Brian Hatfield,(Prefers Democratic Party),Legislative District 19 State Senator,Legislative District 19,Lewis,1161
Rick Winsman,(Prefers Republican Party),Legislative District 19 State Senator,Legislative District 19,Lewis,1861
Dean Takko,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Lewis,1168
Dixie Kolditz,(Prefers Republican Party),Legislative District 19 State Representative Pos. 1,Legislative District 19,Lewis,1805
Brian E. Blake,(Prefers Democratic Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Lewis,1117
Tim Sutinen,(Prefers Independent Party),Legislative District 19 State Representative Pos. 2,Legislative District 19,Lewis,1690
Dan Swecker,(Prefers Republican Party),Legislative District 20 State Senator,Legislative District 20,Lewis,11644
John E. Braun,(Prefers Republican Party),Legislative District 20 State Senator,Legislative District 20,Lewis,15868
Richard DeBolt,(Prefers Republican Party),Legislative District 20 State Representative Pos. 1,Legislative District 20,Lewis,22644
Ed Orcutt,(Prefers Republican Party),Legislative District 20 State Representative Pos. 2,Legislative District 20,Lewis,15885
John Morgan,(Prefers Republican Party),Legislative District 20 State Representative Pos. 2,Legislative District 20,Lewis,8479
Edna J. Fund,(Prefers Republican Party),County Comm Dist 1,County,Lewis,15743
Ron Averill,(Prefers Republican Party),County Comm Dist 1,County,Lewis,13590
Bill Schulte,(Prefers Republican Party),County Comm Dist 2,County,Lewis,19228
Gerald O. Lord,(Prefers Republican Party),County Comm Dist 2,County,Lewis,7714
Dean Dahlin,15918,PUD District Comm Dist 2,,Lewis,68.8525
James H. Hubenthal,7201,PUD District Comm Dist 2,,Lewis,31.1475
Susan Owens,22002,Supreme Court Justice Position 2,,Lewis,100
Steve Gonzalez,21611,Supreme Court Justice Position 8,,Lewis,100
Sheryl Gordon McCloud,11152,Supreme Court Justice Position 9,,Lewis,42.4757
Richard B. Sanders,15103,Supreme Court Justice Position 9,,Lewis,57.5243
 Division 2, District 3 Judge Position 1,Court of Appeals,100,Lewis,Joel Penoyar
Nelson E. Hunt,22342,Lewis Superior Court Judge Position 1,,Lewis,100
James W. Lawler,22347,Lewis Superior Court Judge Position 2,,Lewis,100
Richard L. Brosey,22747,Lewis Superior Court Judge Position 3,,Lewis,100
Yes,307,Morton City Morton City - Annexation of the City of Morton to the Timberland Regional Library Annexation of the City of Morton to the Timberland Regional Library,,Lewis,72.7488
No,115,Morton City Morton City - Annexation of the City of Morton to the Timberland Regional Library Annexation of the City of Morton to the Timberland Regional Library,,Lewis,27.2512
Yes,2856,Fire Dist. #6-Chehalis Fire Dist. #6-Chehalis - Proposition 1 Proposition to renew a regular emergency medical services property tax levy,,Lewis,73.6652
No,1021,Fire Dist. #6-Chehalis Fire Dist. #6-Chehalis - Proposition 1 Proposition to renew a regular emergency medical services property tax levy,,Lewis,26.3348
Yes,4236,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Lincoln,74.8674
No,1422,Statewide Initiative Measure No. 1185 Concerns tax and fee increases imposed by state government,,Lincoln,25.1326
Yes,2604,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Lincoln,45.6602
No,3099,Statewide Initiative Measure No. 1240 Concerns creation of a public charter school system,,Lincoln,54.3398
Approved,1654,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Lincoln,28.4731
Rejected,4155,Statewide Referendum Measure No. 74 Concerns marriage for same-sex couples,,Lincoln,71.5269
Yes,2428,Statewide Initiative Measure No. 502 Concerns marijuana,,Lincoln,41.8621
No,3372,Statewide Initiative Measure No. 502 Concerns marijuana,,Lincoln,58.1379
Approved,3106,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Lincoln,58.2958
Rejected,2222,Statewide Engrossed Senate Joint Resolution No. 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit,,Lincoln,41.7042
Approved,1803,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Lincoln,33.0462
Rejected,3653,Statewide Senate Joint Resolution No. 8223 Concerns investments by the University of Washington and Washington State University,,Lincoln,66.9538
Repealed,3790,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Lincoln,72.4527
Maintained,1441,Washington State Advisory Vote No. 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans,,Lincoln,27.5473
Repealed,3546,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Lincoln,69.5158
Maintained,1555,Washington State Advisory Vote No. 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products,,Lincoln,30.4842
Barack Obama / Joe Biden,Democratic Party Nominees,United States President/Vice President,United States,Lincoln,1673
Mitt Romney / Paul Ryan,Republican Party Nominees,United States President/Vice President,United States,Lincoln,4063
Gary Johnson / James P. Gray,Libertarian Party Nominees,United States President/Vice President,United States,Lincoln,66
Virgil Goode / James N. Clymer,Constitution Party Nominees,United States President/Vice President,United States,Lincoln,24
Jill Stein / Cheri Honkala,Green Party Nominees,United States President/Vice President,United States,Lincoln,36
Peta Lindsay / Yari Osorio,Socialism & Liberation Party Nominees,United States President/Vice President,United States,Lincoln,1
James Harris / Alyson Kennedy,Socialist Workers Party Nominees,United States President/Vice President,United States,Lincoln,3
Ross C. (Rocky) Anderson / Luis J. Rodriguez,Justice Party Nominees,United States President/Vice President,United States,Lincoln,6
Maria Cantwell,(Prefers Democratic Party),United States U.S. Senator,United States,Lincoln,2157
Michael Baumgartner,(Prefers Republican Party),United States U.S. Senator,United States,Lincoln,3654
Cathy McMorris Rodgers,(Prefers Republican Party),Congressional District 5 U.S. Representative,Congressional District 5,Lincoln,4452
Rich Cowan,(Prefers Democratic Party),Congressional District 5 U.S. Representative,Congressional District 5,Lincoln,1369
Jay Inslee,(Prefers Democratic Party),Washington State Governor,Washington State,Lincoln,1716
Rob McKenna,(Prefers Republican Party),Washington State Governor,Washington State,Lincoln,4088
Brad Owen,(Prefers Democrat Party),Washington State Lt. Governor,Washington State,Lincoln,1996
Bill Finkbeiner,(Prefers Republican Party),Washington State Lt. Governor,Washington State,Lincoln,3604
Kim Wyman,(Prefers Republican Party),Washington State Secretary of State,Washington State,Lincoln,4054
Kathleen Drew,(Prefers Democratic Party),Washington State Secretary of State,Washington State,Lincoln,1467
Jim McIntire,(Prefers Democratic Party),Washington State State Treasurer,Washington State,Lincoln,1995
Sharon Hanek,(Prefers Republican Party),Washington State State Treasurer,Washington State,Lincoln,3494
James Watkins,(Prefers Republican Party),Washington State State Auditor,Washington State,Lincoln,3856
